cmip6-id, cmip6-label, cmip6-type
, , 
cmip6.atmoschem.key_properties.chemistry_scheme_scope, Atmoschem > Key Properties > Chemistry Scheme Scope, property
cmip6.atmoschem.key_properties.basic_approximations, Atmoschem > Key Properties > Basic Approximations, property
cmip6.atmoschem.key_properties.prognostic_variables_form, Atmoschem > Key Properties > Prognostic Variables Form, property
cmip6.atmoschem.key_properties.number_of_tracers, Atmoschem > Key Properties > Number Of Tracers, property
cmip6.atmoschem.key_properties.family_approach, Atmoschem > Key Properties > Family Approach, property
cmip6.atmoschem.key_properties.coupling_with_chemical_reactivity, Atmoschem > Key Properties > Coupling With Chemical Reactivity, property
cmip6.atmoschem.key_properties.timestep_framework.method, Atmoschem > Key Properties > Timestep Framework > Method, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_advection_timestep, Atmoschem > Key Properties > Timestep Framework > Split Operator Advection Timestep, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_physical_timestep, Atmoschem > Key Properties > Timestep Framework > Split Operator Physical Timestep, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_alternate_order, Atmoschem > Key Properties > Timestep Framework > Split Operator Alternate Order, property
cmip6.atmoschem.key_properties.timestep_framework.integrated_timestep, Atmoschem > Key Properties > Timestep Framework > Integrated Timestep, property
cmip6.atmoschem.key_properties.timestep_framework.integrated_scheme_type, Atmoschem > Key Properties > Timestep Framework > Integrated Scheme Type, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.turbulence, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Turbulence, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.convection, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Convection, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.precipitation, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Precipitation, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.emissions, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Emissions, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.deposition, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Deposition, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.gas_phase_chemistry, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Gas Phase Chemistry, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.heterogeneous_phase_chemistry, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Heterogeneous Phase Chemistry, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.photo_chemistry, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Photo Chemistry, property
cmip6.atmoschem.key_properties.timestep_framework.split_operator_order.aerosols, Atmoschem > Key Properties > Timestep Framework > Split Operator Order > Aerosols, property
cmip6.atmoschem.key_properties.meteorological_forcings.variables_3D, Atmoschem > Key Properties > Meteorological Forcings > Variables 3D, property
cmip6.atmoschem.key_properties.meteorological_forcings.variables_2D, Atmoschem > Key Properties > Meteorological Forcings > Variables 2D, property
cmip6.atmoschem.key_properties.meteorological_forcings.frequency, Atmoschem > Key Properties > Meteorological Forcings > Frequency, property
cmip6.atmoschem.key_properties.resolution.name, Atmoschem > Key Properties > Resolution > Name, property
cmip6.atmoschem.key_properties.resolution.canonical_horizontal_resolution, Atmoschem > Key Properties > Resolution > Canonical Horizontal Resolution, property
cmip6.atmoschem.key_properties.resolution.number_of_horizontal_gridpoints, Atmoschem > Key Properties > Resolution > Number Of Horizontal Gridpoints, property
cmip6.atmoschem.key_properties.resolution.number_of_vertical_levels, Atmoschem > Key Properties > Resolution > Number Of Vertical Levels, property
